Baker Hughes,Curve,Wireline,DP2B,EART2,ohm.m,Formation resistivity,Pad 2 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP3A,EART2,ohm.m,Formation resistivity,Pad 3 frequency A average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP3B,EART2,ohm.m,Formation resistivity,Pad 3 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP4A,EART2,ohm.m,Formation resistivity,Pad 4 frequency A average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP4B,EART2,ohm.m,Formation resistivity,Pad 4 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP5A,EART2,ohm.m,Formation resistivity,Pad 5 frequency A average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP5B,EART2,ohm.m,Formation resistivity,Pad 5 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP6A,EART2,ohm.m,Formation resistivity,Pad 6 frequency A average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP6B,EART2,ohm.m,Formation resistivity,Pad 6 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DPA,EART2,ohm.m,Formation resistivity,Frequency A array of pad center button (dip) resistivities,
Baker Hughes,Curve,Wireline,DPB,EART2,ohm.m,Formation resistivity,Frequency B array of pad center button (dip) resistivities,
Baker Hughes,Curve,Wireline,DPCOA,EART2,rad,Fraction of a circle,Delta phase average frequency A,
Baker Hughes,Curve,Wireline,DPCOB,EART2,rad,Fraction of a circle,Delta phase average frequency B,
Baker Hughes,Curve,Wireline,DPEG,EART2,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEG,STAR,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEG,EART,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEG13,STAR,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEG13,EART,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGE13,EART,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGE13,STAR,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGF,EART,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGF,STAR,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGF13,EART,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPEGF13,STAR,Unitless,Unitless,DPEG value,
Baker Hughes,Curve,Wireline,DPN,FDN,Hz,Frequency,FDDP differential pressure count rate,
Baker Hughes,Curve,Wireline,DPS5PK,EART,Unitless,Unitless,Internal Diplog curve,
Baker Hughes,Curve,Wireline,DPS5PK,STAR,Unitless,Unitless,Internal Diplog curve,
Baker Hughes,Curve,Wireline,DPTJ,RCI,Pa,Pressure,1970JB differential pressure,
Baker Hughes,Curve,Wireline,DPTK,RCI,Pa,Pressure,1970KB differential pressure,
Baker Hughes,Curve,Wireline,DPTL,RCI,Pa,Pressure,1970LB differential pressure,
Baker Hughes,Curve,Wireline,DQGN03,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DQST03,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DQWV03,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCGN01,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN02,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN02,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN03,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN04,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN05,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN06,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN07,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN08,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN09,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN09,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN11,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN14,XMACF1,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCGN21,DAL,Unitless,Unitless,Packed acoustic gain curves,
Baker Hughes,Curve,Wireline,DRCST01,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST02,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST02,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST03,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST04,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST05,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST06,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST07,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST08,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST09,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST09,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST11,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST14,XMACF1,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCST21,DAL,s,Time,Packed acoustic start time curves,
Baker Hughes,Curve,Wireline,DRCWV01,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV02,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV02,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV03,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV04,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV05,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV06,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV07,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV08,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV09,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV09,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV11,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV14,XMACF1,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DRCWV21,DAL,Unitless,Unitless,Packed acoustic wave curves,
Baker Hughes,Curve,Wireline,DREFXE,XMACF1,m,Length and depth,Depth reference curve used internally for XMAC-F1,
Baker Hughes,Curve,Wireline,DRVGN01,DAL,Unitless,Unitless,Packed acoustic gain curves,
